Execution,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params
1,0.7923946954607963,-99999.0,690308478.0,-359996400.0,17612426.0
2,0.799112500846386,-99999.0,1679779646.0,-359996400.0,68694442.0
3,0.7872920075058937,-99999.0,1100504734.0,-359996400.0,12415754.0
4,0.790373987476031,-99999.0,395246862.0,-359996400.0,16420714.0
5,0.757287361948263,-99999.0,853927166.0,-359996400.0,34365610.0
Mean,0.7852921106474741,-99999.0,943953377.2,-359996400.0,29901789.2
Std,0.01452956231640529,0.0,433466934.9761718,0.0,20800600.331822485
