Execution,Accuracy,Loss,FLOPs,CPU_Sec,Num_Params
1,0.7844707478582859,-99999.0,379929710.0,-359996400.0,8367658.0
2,0.8067876635988555,-99999.0,2469190110.0,-359996400.0,12642442.0
3,0.7870125004649162,-99999.0,4014549662.0,-359996400.0,37453706.0
4,0.782010951668024,-99999.0,1295528686.0,-359996400.0,17217706.0
5,0.7823166055381299,-99999.0,368071742.0,-359996400.0,34023274.0
Mean,0.7885196938256422,-99999.0,1705453982.0,-359996400.0,21940957.2
Std,0.009308344038391033,0.0,1387721898.107566,0.0,11658762.306378124
