GD,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0.130769,0.030769,0.161538,0.023077,0.053846,0.146154,0.046154,0.000000,0.138462,0.023077,0.000000,0.169231,0.069231,0.007692
NONE_MPOLY,0.063492,0.095238,0.063492,0.142857,0.174603,0.047619,0.103175,0.023810,0.055556,0.087302,0.023810,0.047619,0.031746,0.039683
SBX_MNUF,0.066667,0.028571,0.147619,0.042857,0.076190,0.157143,0.023810,0.038095,0.166667,0.033333,0.019048,0.161905,0.028571,0.009524
SBX_MPOLY,0.031847,0.101911,0.070064,0.108280,0.178344,0.063694,0.089172,0.038217,0.044586,0.076433,0.038217,0.050955,0.089172,0.019108
SBX_NONE,0.011013,0.025330,0.013216,0.034141,0.606828,0.013216,0.024229,0.066079,0.006608,0.019824,0.070485,0.016520,0.027533,0.064978
SPC_MNUF,0.066986,0.033493,0.172249,0.033493,0.095694,0.119617,0.038278,0.019139,0.162679,0.038278,0.019139,0.129187,0.047847,0.023923
SPC_MPOLY,0.015038,0.082707,0.045113,0.112782,0.172932,0.052632,0.142857,0.067669,0.030075,0.067669,0.060150,0.030075,0.090226,0.030075
SPC_NONE,0.006623,0.039735,0.033113,0.039735,0.370861,0.013245,0.033113,0.105960,0.026490,0.059603,0.139073,0.013245,0.039735,0.079470
TPC_MNUF,0.063830,0.031915,0.175532,0.037234,0.047872,0.180851,0.031915,0.015957,0.148936,0.037234,0.005319,0.164894,0.037234,0.021277
TPC_MPOLY,0.014706,0.073529,0.080882,0.132353,0.095588,0.110294,0.051471,0.014706,0.066176,0.132353,0.014706,0.095588,0.080882,0.036765
TPC_NONE,0.006803,0.027211,0.006803,0.034014,0.367347,0.034014,0.034014,0.102041,0.006803,0.047619,0.122449,0.034014,0.047619,0.129252
UC_MNUF,0.065000,0.055000,0.140000,0.045000,0.105000,0.140000,0.045000,0.025000,0.135000,0.045000,0.015000,0.135000,0.040000,0.010000
UC_MPOLY,0.052239,0.089552,0.044776,0.059701,0.201493,0.074627,0.089552,0.037313,0.044776,0.097015,0.059701,0.029851,0.074627,0.044776
UC_NONE,0.000000,0.014184,0.014184,0.042553,0.432624,0.021277,0.035461,0.120567,0.021277,0.042553,0.042553,0.028369,0.056738,0.127660
