counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,27,8,31,12,19,23,4,0,24,6,1,28,6,1
NONE_MPOLY,13,13,12,18,5,18,6,0,14,4,0,10,10,2
SBX_MNUF,24,9,63,17,19,43,18,1,49,10,1,51,10,3
SBX_MPOLY,12,23,15,19,19,10,11,1,14,9,0,20,11,1
SBX_NONE,22,8,22,20,492,22,34,14,18,21,11,23,20,8
SPC_MNUF,22,11,46,10,28,53,10,1,62,11,0,54,8,0
SPC_MPOLY,5,12,7,10,31,7,17,0,16,17,3,5,12,1
SPC_NONE,1,1,1,1,11,1,2,2,0,2,3,2,0,2
TPC_MNUF,20,10,50,18,25,61,14,1,62,13,0,64,4,0
TPC_MPOLY,4,4,6,17,27,7,15,1,10,12,2,11,10,2
TPC_NONE,0,0,1,1,12,1,0,3,0,0,7,1,2,1
UC_MNUF,17,15,53,19,24,57,8,0,58,10,0,40,13,0
UC_MPOLY,3,11,15,9,20,10,4,2,10,10,1,5,10,2
UC_NONE,1,1,1,1,6,0,2,3,1,4,1,2,0,1
