GD,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0.142105,0.042105,0.163158,0.063158,0.100000,0.121053,0.021053,0.000000,0.126316,0.031579,0.005263,0.147368,0.031579,0.005263
NONE_MPOLY,0.104000,0.104000,0.096000,0.144000,0.040000,0.144000,0.048000,0.000000,0.112000,0.032000,0.000000,0.080000,0.080000,0.016000
SBX_MNUF,0.075472,0.028302,0.198113,0.053459,0.059748,0.135220,0.056604,0.003145,0.154088,0.031447,0.003145,0.160377,0.031447,0.009434
SBX_MPOLY,0.072727,0.139394,0.090909,0.115152,0.115152,0.060606,0.066667,0.006061,0.084848,0.054545,0.000000,0.121212,0.066667,0.006061
SBX_NONE,0.029932,0.010884,0.029932,0.027211,0.669388,0.029932,0.046259,0.019048,0.024490,0.028571,0.014966,0.031293,0.027211,0.010884
SPC_MNUF,0.069620,0.034810,0.145570,0.031646,0.088608,0.167722,0.031646,0.003165,0.196203,0.034810,0.000000,0.170886,0.025316,0.000000
SPC_MPOLY,0.034965,0.083916,0.048951,0.069930,0.216783,0.048951,0.118881,0.000000,0.111888,0.118881,0.020979,0.034965,0.083916,0.006993
SPC_NONE,0.034483,0.034483,0.034483,0.034483,0.379310,0.034483,0.068966,0.068966,0.000000,0.068966,0.103448,0.068966,0.000000,0.068966
TPC_MNUF,0.058480,0.029240,0.146199,0.052632,0.073099,0.178363,0.040936,0.002924,0.181287,0.038012,0.000000,0.187135,0.011696,0.000000
TPC_MPOLY,0.031250,0.031250,0.046875,0.132812,0.210938,0.054688,0.117188,0.007812,0.078125,0.093750,0.015625,0.085938,0.078125,0.015625
TPC_NONE,0.000000,0.000000,0.034483,0.034483,0.413793,0.034483,0.000000,0.103448,0.000000,0.000000,0.241379,0.034483,0.068966,0.034483
UC_MNUF,0.054140,0.047771,0.168790,0.060510,0.076433,0.181529,0.025478,0.000000,0.184713,0.031847,0.000000,0.127389,0.041401,0.000000
UC_MPOLY,0.026786,0.098214,0.133929,0.080357,0.178571,0.089286,0.035714,0.017857,0.089286,0.089286,0.008929,0.044643,0.089286,0.017857
UC_NONE,0.041667,0.041667,0.041667,0.041667,0.250000,0.000000,0.083333,0.125000,0.041667,0.166667,0.041667,0.083333,0.000000,0.041667
