ID,Seed,Execution,Generation,isChild,Integer_encoding,Genotype,Crossover type,Mutation type,Search strategy,Type,Epochs,Accuracy,Loss,FLOPs,CPU Sec,Number of Parameters,Parent1,Parent2,Before Mutation,HD_P1,HD_P2,HD_BM
DB,0,1,1,FALSE,"[1, 0, 0, 2, -1, 0, 1, 0, 1, 1, 0, 0, 1, 3, 0, 1, 3, 0, 2, -1, 0, 5, 1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'CONV': [32, 3]}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.681699991,0.932581246,181974366,20.05675817,2868298,[],[],[],-1,-1,-1
JF,0,1,1,FALSE,"[1, 0, 0, 1, 2, 0, 1, 0, 1, 1, 3, 0, 1, 2, 0, 1, 3, 1, 2, -1, 0, 5, 2, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [128, 3]}, {'CONV': [32, 5]}, {'CONV': [256, 3]}, {'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.100000001,2.302617788,1377310110,39.34195113,18242986,[],[],[],-1,-1,-1
IP,0,1,1,FALSE,"[1, 0, 0, 1, 3, 0, 1, 0, 0, 2, -1, 1, 1, 2, 0, 1, 1, 0, 2, -1, 0, 5, 2, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [256, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.744700015,0.757814348,163573790,23.01933217,703466,[],[],[],-1,-1,-1
HD,0,1,1,FALSE,"[1, 0, 0, 1, 2, 0, 2, -1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 2, -1, 1, 5, 1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 5]}, {'CONV': [64, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [512, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.734399974,0.774277925,61251518,19.34117579,406314,[],[],[],-1,-1,-1
VM,0,1,1,FALSE,"[1, 0, 0, 2, -1, 1, 1, 0, 0, 1, 2, 0, 1, 2, 1, 1, 0, 1, 2, -1, 1, 5, 1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [32, 3]}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.680199981,0.953599811,56813230,19.52379465,631882,[],[],[],-1,-1,-1
VB,0,1,1,FALSE,"[1, 0, 0, 1, 3, 0, 2, -1, 0, 1, 1, 1, 1, 1, 1, 1, 3, 1, 2, -1, 0, 5, 2, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.720200002,0.819190681,316934942,25.06685019,5259786,[],[],[],-1,-1,-1
HO,0,1,1,FALSE,"[1, 0, 0, 2, -1, 0, 1, 2, 1, 2, -1, 1, 1, 3, 0, 1, 3, 0, 2, -1, 0, 5, 2, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.737699986,0.773563385,49620062,18.31636405,1319434,[],[],[],-1,-1,-1
XN,0,1,1,FALSE,"[1, 0, 0, 1, 0, 0, 1, 3, 0, 2, -1, 0, 1, 0, 1, 1, 3, 1, 2, -1, 1, 5, 1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.100000001,2.302618265,191892318,19.91031957,1348938,[],[],[],-1,-1,-1
JT,0,1,1,FALSE,"[1, 0, 0, 2, -1, 1, 1, 3, 0, 1, 3, 0, 1, 1, 1, 1, 1, 1, 2, -1, 0, 5, 3, 0, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.715399981,0.837279975,119392286,20.26437879,2063754,[],[],[],-1,-1,-1
SV,0,1,1,FALSE,"[1, 0, 0, 2, -1, 0, 1, 3, 0, 2, -1, 0, 1, 0, 0, 1, 2, 1, 2, -1, 0, 5, 3, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.709900022,0.840753436,32321438,18.51177621,1434154,[],[],[],-1,-1,-1
