ID,Seed,Execution,Generation,isChild,Integer_encoding,Genotype,Crossover type,Mutation type,Search strategy,Type,Epochs,Accuracy,Loss,FLOPs,CPU Sec,Number of Parameters,Parent1,Parent2,Before Mutation,HD_P1,HD_P2,HD_BM
PQ,0,1,1,FALSE,"[1, 3, 2, 2, -1, 0, 1, 0, 2, 3, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 7]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 7]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,10,0.640799999,1.061574697,141631854,52.37021184,505226,[],[],[],-1,-1,-1
MC,0,1,1,FALSE,"[1, 0, 0, 1, 0, 2, 2, -1, 1, 1, 3, 2, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 7]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 7]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,10,0.676699996,1.777726531,94104830,52.10227513,2091882,[],[],[],-1,-1,-1
QH,0,1,1,FALSE,"[1, 3, 1, 1, 2, 2, 1, 2, 0, 2, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [128, 7]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,10,0.619199991,1.483148813,1816199534,102.8644667,2821738,[],[],[],-1,-1,-1
TG,0,1,1,FALSE,"[1, 1, 2, 1, 0, 0, 1, 1, 1, 3, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 7]}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,10,0.617900014,1.570049405,81576302,53.19204664,603850,[],[],[],-1,-1,-1
NB,0,1,1,FALSE,"[1, 3, 1, 1, 1, 2, 1, 3, 1, 2, -1, 0, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [64, 7]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,10,0.100000001,2.302638769,1278380702,104.1805294,18012234,[],[],[],-1,-1,-1
AH,0,1,1,FALSE,"[1, 0, 2, 3, -1, 0, 1, 1, 2, 3, -1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 7]}, {'POOLAVG': [-1, 2]}, {'CONV': [64, 7]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,10,0.676999986,1.079687834,30819006,48.65743995,368010,[],[],[],-1,-1,-1
YN,0,1,1,FALSE,"[1, 1, 2, 1, 1, 1, 2, -1, 0, 1, 1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 7]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,10,0.645600021,1.484983802,141861566,52.99907637,1263690,[],[],[],-1,-1,-1
S,0,1,1,FALSE,"[1, 3, 0, 2, -1, 1, 1, 2, 0, 2, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,10,0.689400017,0.895906568,36930926,46.64101696,404970,[],[],[],-1,-1,-1
AW,0,1,1,FALSE,"[1, 3, 0, 1, 3, 0, 1, 1, 0, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,10,0.699599981,0.97197032,762786622,71.85776734,1155082,[],[],[],-1,-1,-1
AD,0,1,1,FALSE,"[1, 1, 0, 1, 0, 1, 1, 3, 1, 2, -1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,20,0.665000021,3.12701416,267487070,114.9397109,3536298,[],[],[],-1,-1,-1
