ID,isChild,Integer_encoding,Genotype,Mutation type,Crossover type,Search strategy,Type,Epochs,Accuracy,Loss,FLOPs,CPU Sec,Number of Parameters,Parent1,Parent2,Before Mutation,HD_P1,HD_P2,HD_BM
LC-MO(1)[M],FALSE,"[1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 2, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 7]}, {'CONV': [64, 7]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.621599972,2.353232384,481249950,58.90652609,17233738,[],[],[],5,6,3
MO-LC(1)[M],FALSE,"[1, 0, 0, 1, 1, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.725000024,1.125245094,64455262,41.91655135,975242,[],[],[],1,6,2
LC-MO(1)[M]-MO-LC(1)[M](1),TRUE,"[1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 2, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 7]}, {'CONV': [64, 7]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.630500019,1.925345063,472859998,55.53218031,8843722,"[1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 2, 5, 5, 0, 5, 0, 3]","[1, 0, 0, 1, 1, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]",[],-1,-1,-1
LC-MO(1)[M]-MO-LC(1)[M](2),TRUE,"[1, 0, 0, 1, 1, 1, 2, -1, 1, 1, 1, 1, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.726199985,1.350610852,65275806,41.68810415,1795850,"[1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 2, 5, 5, 0, 5, 0, 3]","[1, 0, 0, 1, 1, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]",[],-1,-1,-1
LC-MO(1)[M],FALSE,"[1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 2, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 7]}, {'CONV': [64, 7]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.600099981,2.500230551,481249950,59.31983042,17233738,[],[],[],5,6,3
MO-LC(2)[M],FALSE,"[1, 0, 0, 1, 1, 2, 1, 0, 2, 2, -1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 7]}, {'CONV': [32, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.684800029,1.042545557,206896542,44.49302816,612714,[],[],[],7,2,1
LC-MO(1)[M]-MO-LC(2)[M](1),TRUE,"[1, 0, 0, 1, 1, 2, 1, 0, 2, 2, -1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 7]}, {'CONV': [32, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.667500019,1.03489697,206896542,44.08735156,612714,"[1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 2, 5, 5, 0, 5, 0, 3]","[1, 0, 0, 1, 1, 2, 1, 0, 2, 2, -1, 1, 5, 4, 0, 5, 0, 3]",[],-1,-1,-1
LC-MO(1)[M]-MO-LC(2)[M](2),TRUE,"[1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 2, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 7]}, {'CONV': [64, 7]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.650900006,2.178309679,481249950,59.54391074,17233738,"[1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 2, 5, 5, 0, 5, 0, 3]","[1, 0, 0, 1, 1, 2, 1, 0, 2, 2, -1, 1, 5, 4, 0, 5, 0, 3]",[],-1,-1,-1
LC-MO(1)[M],FALSE,"[1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 2, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 7]}, {'CONV': [64, 7]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.100000001,2.302677631,481249950,59.24802899,17233738,[],[],[],5,6,3
LC-MO(2)[M],FALSE,"[1, 0, 0, 1, 0, 1, 1, 3, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'CONV': [256, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.709599972,1.310877204,440059070,50.26098752,2067306,[],[],[],2,6,3
