ID,isChild,Integer_encoding,Genotype,Mutation type,Crossover type,Search strategy,Type,Epochs,Accuracy,Loss,FLOPs,CPU Hours,Number of Parameters,Parent1,Parent2,Before Mutation,HD_P1,HD_P2,HD_BM
KL-HO(2)[M],TRUE,"[1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 2, -1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.675000012,1.22027719,289309374,0.013417295,2378442,"[1, 2, 0, 1, 2, 0, 1, 0, 1, 1, 1, 0, 2, -1, 0, 5, 3, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 2, 2, -1, 1, 5, 5, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 2, -1, 0, 5, 3, 0, 5, 0, 3]",3,4,0
SC-DT(1)[M],TRUE,"[1, 1, 0, 1, 2, 0, 1, 0, 2, 3, -1, 1, 2, -1, 1, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 7]}, {'CONV': [64, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.677999973,1.544675112,1335065374,0.022428065,2943626,"[1, 1, 0, 1, 1, 2, 1, 2, 0, 1, 2, 1, 3, -1, 0, 5, 4, 0, 5, 0, 3]","[1, 0, 1, 1, 2, 0, 1, 0, 2, 1, 2, 1, 2, -1, 1, 5, 5, 0, 5, 0, 3]","[1, 1, 0, 1, 2, 0, 1, 0, 2, 1, 2, 1, 2, -1, 1, 5, 5, 0, 5, 0, 3]",9,4,2
SC-DT(2)[M],TRUE,"[1, 0, 1, 1, 1, 2, 1, 2, 0, 1, 2, 1, 3, -1, 0, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [128, 7]}, {'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.638700008,1.481242537,2404549982,0.027952876,10730250,"[1, 1, 0, 1, 1, 2, 1, 2, 0, 1, 2, 1, 3, -1, 0, 5, 4, 0, 5, 0, 3]","[1, 0, 1, 1, 2, 0, 1, 0, 2, 1, 2, 1, 2, -1, 1, 5, 5, 0, 5, 0, 3]","[1, 0, 1, 1, 1, 2, 1, 2, 0, 1, 2, 1, 3, -1, 0, 5, 4, 0, 5, 0, 3]",2,7,0
KL-DT(1)[M],TRUE,"[1, 2, 0, 2, -1, 0, 1, 0, 1, 1, 2, 1, 2, -1, 1, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.716899991,1.08131516,218766110,0.012284247,2467914,"[1, 2, 0, 1, 2, 0, 1, 0, 1, 1, 1, 0, 2, -1, 0, 5, 3, 0, 5, 0, 3]","[1, 0, 1, 1, 2, 0, 1, 0, 2, 1, 2, 1, 2, -1, 1, 5, 5, 0, 5, 0, 3]","[1, 2, 0, 1, 2, 0, 1, 0, 1, 1, 2, 1, 2, -1, 1, 5, 5, 0, 5, 0, 3]",6,5,2
KL-DT(2)[M],TRUE,"[1, 0, 1, 1, 2, 0, 1, 0, 2, 1, 1, 0, 2, -1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [256, 3]}, {'CONV': [64, 7]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.641200006,1.706710696,1055916734,0.020513854,3127178,"[1, 2, 0, 1, 2, 0, 1, 0, 1, 1, 1, 0, 2, -1, 0, 5, 3, 0, 5, 0, 3]","[1, 0, 1, 1, 2, 0, 1, 0, 2, 1, 2, 1, 2, -1, 1, 5, 5, 0, 5, 0, 3]","[1, 0, 1, 1, 2, 0, 1, 0, 2, 1, 1, 0, 2, -1, 0, 5, 3, 0, 5, 0, 3]",3,4,0
SC-RM(1)[M],TRUE,"[1, 1, 0, 3, -1, 1, 1, 1, 2, 3, -1, 0, 1, 2, 1, 5, 1, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'POOLAVG': [-1, 3]}, {'CONV': [128, 7]}, {'POOLAVG': [-1, 2]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [16, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.6699,1.041417837,104542278,0.012093895,1728570,"[1, 1, 0, 1, 1, 2, 1, 2, 0, 1, 2, 1, 3, -1, 0, 5, 4, 0, 5, 0, 3]","[1, 1, 1, 3, -1, 1, 1, 1, 2, 3, -1, 0, 1, 2, 1, 5, 1, 0, 5, 0, 3]","[1, 1, 0, 3, -1, 1, 1, 1, 2, 3, -1, 0, 1, 2, 1, 5, 1, 0, 5, 0, 3]",12,1,0
SC-RM(2)[M],TRUE,"[3, -1, 1, 1, 1, 2, 1, 2, 0, 2, -1, 1, 3, -1, 0, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'POOLAVG': [-1, 3]}, {'CONV': [128, 7]}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.608399987,1.14515686,91221924,0.011953942,1724810,"[1, 1, 0, 1, 1, 2, 1, 2, 0, 1, 2, 1, 3, -1, 0, 5, 4, 0, 5, 0, 3]","[1, 1, 1, 3, -1, 1, 1, 1, 2, 3, -1, 0, 1, 2, 1, 5, 1, 0, 5, 0, 3]","[1, 1, 1, 1, 1, 2, 1, 2, 0, 1, 2, 1, 3, -1, 0, 5, 4, 0, 5, 0, 3]",5,13,4
KL-DT(1)[M],FALSE,"[1, 2, 0, 2, -1, 0, 1, 0, 1, 1, 2, 1, 2, -1, 1, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.698400021,1.209755898,218766110,0.012203455,2467914,[],[],[],6,5,2
KL-HO(2)[M],FALSE,"[1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 2, -1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.666599989,1.418915987,289309374,0.013247189,2378442,[],[],[],3,4,0
KL-DT(1)[M]-KL-HO(2)[M](1),TRUE,"[1, 2, 0, 2, -1, 0, 1, 0, 1, 1, 1, 0, 2, -1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.706200004,0.999765217,131637950,0.01194661,1015690,"[1, 2, 0, 2, -1, 0, 1, 0, 1, 1, 2, 1, 2, -1, 1, 5, 5, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 2, -1, 0, 5, 3, 0, 5, 0, 3]",[],-1,-1,-1
