counts,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SPC_MPOLY,TPC_MPOLY,UC_MPOLY
NONE_MNUF,0,0,0,0,1,0,0
NONE_MPOLY,0,0,0,28,1,1,0
SBX_MNUF,0,0,381,495,1,0,3
SBX_MPOLY,0,16,493,1476,10,11,9
SPC_MPOLY,0,2,1,12,0,1,1
TPC_MPOLY,0,0,1,12,0,0,0
UC_MPOLY,0,0,3,11,0,0,0
