Genetic_operators,Times_Used,Pareto_Appearances
SPC_MPAR,87,87
SPC_MSWAP,7,89
SPC_NONE,3,88
TPC_MPAR,1,91
TPC_MSWAP,1,91
TPC_NONE,0,88
UC_MPAR,0,88
UC_MSWAP,0,91
UC_NONE,0,89
NONE_MPAR,1,86
NONE_MSWAP,0,87
NONE_NONE,0,89
