ID,Seed,Execution,Generation,GenCreation,isChild,isMutant,Integer_encoding,Binary_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Loss,FLOPs,Num_Params,CPU_Sec,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,Was_invalid,arch_status,NFHT,Trained_Completely,Has_CM,Confusion_matrix,cm_accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro,Ranking,SizeMB
LBIBZM[M][M][M][M][M][M],,1,20,9,True,True,"[7, 7, 8, 7, 2, 6, 11]",[],"[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'CONV': [64, 3]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'LAST_DENSE': [10, 'softmax']}]",NONE,MPAR,GA,50,"[0.5370000004768372, 0.6395000219345093, 0.7053999900817871, 0.5601999759674072, 0.5946999788284302, 0.6906999945640564, 0.6561999917030334, 0.6312999725341797, 0.7426000237464905, 0.7910000085830688, 0.7756999731063843, 0.820900022983551, 0.8059999942779541, 0.7469000220298767, 0.8062000274658203, 0.8274999856948853, 0.8323000073432922, 0.8095999956130981, 0.7865999937057495, 0.8270999789237976, 0.8148000240325928, 0.866599977016449, 0.8532000184059143, 0.8687000274658203, 0.8575999736785889, 0.8676999807357788, 0.8640000224113464, 0.8827999830245972, 0.8615999817848206, 0.8783000111579895, 0.8651999831199646, 0.8725000023841858, 0.8309999704360962, 0.8812999725341797, 0.8888000249862671, 0.8881000280380249, 0.8777999877929688, 0.8765000104904175, 0.8913999795913696, 0.8934999704360962, 0.8833000063896179, 0.8705999851226807, 0.8876000046730042, 0.8980000019073486, 0.8925999999046326, 0.891700029373169, 0.8935999870300293, 0.8884000182151794, 0.8799999952316284, 0.896399974822998]","[1.3806108236312866, 1.1355397701263428, 0.9717029333114624, 1.5405080318450928, 1.4107580184936523, 1.04884934425354, 1.2071930170059204, 1.419177532196045, 0.9422440528869629, 0.7848969101905823, 0.8365057706832886, 0.6833989024162292, 0.7175467610359192, 0.9557353258132935, 0.7358229160308838, 0.6532607674598694, 0.6539266705513, 0.7357703447341919, 0.8405286073684692, 0.6736407279968262, 0.7342584133148193, 0.543006181716919, 0.5947312712669373, 0.530457079410553, 0.5607327818870544, 0.5309288501739502, 0.5376462936401367, 0.4851994216442108, 0.5753334760665894, 0.509401261806488, 0.5322466492652893, 0.5158043503761292, 0.7195174098014832, 0.49254223704338074, 0.4694834053516388, 0.47658559679985046, 0.5047657489776611, 0.516563355922699, 0.45990365743637085, 0.4594292938709259, 0.5127038955688477, 0.5488436818122864, 0.4865885376930237, 0.4488746225833893, 0.4660975933074951, 0.4756636321544647, 0.4581429064273834, 0.4692089855670929, 0.5158268809318542, 0.45371562242507935]",0.896399975,,4419794620.0,20376330.0,,,,,,"[7, 7, 8, 7, 2, 5, 11]",0.0,0.0,0.142857143,0,31,0,400,0.0,0.0775,False,BEST,0.45,True,True,"[[908  11  10   4   3   0   5   2  34  23]
 [  1 965   1   1   0   0   1   0   3  28]
 [ 36   3 815  35  16  20  53  11   4   7]
 [  7   5  18 795  18  61  58  17  13   8]
 [  4   1  20  24 868  10  47  22   3   1]
 [  8   3  11  98  17 803  34  18   1   7]
 [  5   2   3  10   2   1 972   1   3   1]
 [  9   0   6   7  14   7   8 943   0   6]
 [ 24   9   2   3   1   0   1   1 940  19]
 [  5  32   0   2   1   0   1   2   2 955]]",0.8964,0.897660599,0.8964,0.895685034,93,77.72953033447266
LTWNIO[M][M][M][M][M][M],,2,20,14,True,True,"[5, 5, 8, 7, 3, 6, 12]",[],"[{'INP': 32}, {'CONV': [128, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'CONV': [64, 5]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'LAST_DENSE': [10, 'softmax']}]",NONE,MPAR,GA,50,"[0.5543000102043152, 0.5044999718666077, 0.6600000262260437, 0.6657000184059143, 0.6729999780654907, 0.6406999826431274, 0.7324000000953674, 0.5649999976158142, 0.775600016117096, 0.8123000264167786, 0.7986999750137329, 0.7538999915122986, 0.73089998960495, 0.7538999915122986, 0.7835999727249146, 0.8414999842643738, 0.8504999876022339, 0.8420000076293945, 0.7613000273704529, 0.8478000164031982, 0.850600004196167, 0.838100016117096, 0.847000002861023, 0.8219000101089478, 0.8177000284194946, 0.8378000259399414, 0.8808000087738037, 0.8805000185966492, 0.8838000297546387, 0.8830999732017517, 0.8719000220298767, 0.8712999820709229, 0.8805999755859375, 0.8931999802589417, 0.8808000087738037, 0.857200026512146, 0.8834999799728394, 0.8546000123023987, 0.8824999928474426, 0.89410001039505, 0.8971999883651733, 0.8881999850273132, 0.8931000232696533, 0.8805000185966492, 0.8995000123977661, 0.8907999992370605, 0.8946999907493591, 0.8970000147819519, 0.8863999843597412, 0.8855999708175659]","[1.3228000402450562, 1.5859150886535645, 1.0842032432556152, 1.1500270366668701, 1.183104157447815, 1.2740200757980347, 0.9181619882583618, 1.6909253597259521, 0.8307949900627136, 0.738969624042511, 0.7669780850410461, 0.958236038684845, 0.9705234169960022, 0.9334145784378052, 0.813042402267456, 0.6606388688087463, 0.605897843837738, 0.6275889873504639, 0.956207811832428, 0.6122313141822815, 0.6036362051963806, 0.6517200469970703, 0.6366777420043945, 0.6864054203033447, 0.7210403680801392, 0.6824874877929688, 0.5039703845977783, 0.5168581604957581, 0.48597535490989685, 0.4913690984249115, 0.5297587513923645, 0.5176909565925598, 0.4985664486885071, 0.4545878767967224, 0.4879600703716278, 0.604439914226532, 0.5102990865707397, 0.6126189231872559, 0.513607382774353, 0.45710527896881104, 0.44782280921936035, 0.4717293977737427, 0.4745185673236847, 0.5145742893218994, 0.4476090371608734, 0.4726670980453491, 0.4566264748573303, 0.45068877935409546, 0.5099260210990906, 0.5049272179603577]",0.885599971,,1631243708.0,35360906.0,,,,,,"[5, 5, 8, 7, 3, 5, 12]",0.0,0.0,0.142857143,0,51,0,400,0.0,0.1275,False,BEST,0.7,True,True,"[[904  18  23   2   5   0  11   3  26   8]
 [  2 978   0   0   1   0   4   0   2  13]
 [ 18   1 884  13  23   7  43   5   5   1]
 [  7   8  34 776  36  32  75  12  12   8]
 [  2   1  32  17 895   1  46   5   1   0]
 [  7   2  30 128  36 724  46  21   5   1]
 [  3   3  15   5   2   2 968   0   1   1]
 [ 10   3  10  15  30   7  10 910   3   2]
 [ 28  11   2   1   3   0   7   0 935  13]
 [  8  79   1   0   1   0  13   2  14 882]]",0.8856,0.889414491,0.8856,0.884782769,36,134.89115142822266
LDKHJQ[M][M][M][M][M][M][M][M][M][M][M],,3,20,16,True,True,"[7, 5, 7, 7, 2, 7, 11]",[],"[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [128, 5]}, {'CONV': [256, 5]}, {'CONV': [256, 5]}, {'CONV': [64, 3]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'LAST_DENSE': [10, 'softmax']}]",NONE,MPAR,GA,50,"[0.5020999908447266, 0.5680999755859375, 0.5573999881744385, 0.6660000085830688, 0.5828999876976013, 0.5961999893188477, 0.744700014591217, 0.7045000195503235, 0.5873000025749207, 0.6845999956130981, 0.7390999794006348, 0.641700029373169, 0.7681999802589417, 0.7806000113487244, 0.7574999928474426, 0.8141000270843506, 0.8169999718666077, 0.7958999872207642, 0.7897999882698059, 0.7335000038146973, 0.8041999936103821, 0.7973999977111816, 0.8615000247955322, 0.8585000038146973, 0.8705999851226807, 0.8592000007629395, 0.8623999953269958, 0.8647000193595886, 0.8532999753952026, 0.8485000133514404, 0.8823999762535095, 0.8862000107765198, 0.8964999914169312, 0.8906000256538391, 0.8884000182151794, 0.8830999732017517, 0.8702999949455261, 0.9003999829292297, 0.8659999966621399, 0.8896999955177307, 0.8934999704360962, 0.8960999846458435, 0.8755999803543091, 0.9053999781608582, 0.9125000238418579, 0.8921999931335449, 0.9034000039100647, 0.9070000052452087, 0.8967999815940857, 0.8921999931335449]","[1.4576311111450195, 1.3578413724899292, 1.430416464805603, 1.090470552444458, 1.3915636539459229, 1.4133650064468384, 0.9172852635383606, 1.0562682151794434, 1.4844130277633667, 1.1123526096343994, 0.936423659324646, 1.375135898590088, 0.837733805179596, 0.8109235763549805, 0.8811036348342896, 0.7068634629249573, 0.6769019961357117, 0.7446233630180359, 0.7955065965652466, 0.964341402053833, 0.7679413557052612, 0.7379816770553589, 0.5473977327346802, 0.5745642781257629, 0.5210378170013428, 0.5602257251739502, 0.5414124727249146, 0.529729425907135, 0.5984697341918945, 0.5896545648574829, 0.4739295542240143, 0.4671175181865692, 0.4267672300338745, 0.4456067383289337, 0.45864829421043396, 0.4823998510837555, 0.5372720956802368, 0.4173935055732727, 0.5642498135566711, 0.45945650339126587, 0.44883036613464355, 0.4471336901187897, 0.5055785179138184, 0.40059784054756165, 0.3820030093193054, 0.4636872112751007, 0.42051875591278076, 0.40489664673805237, 0.44854187965393066, 0.45287075638771057]",0.892199993,,8027781564.0,70970634.0,,,,,,"[6, 5, 7, 7, 2, 7, 11]",0.0,0.0,0.142857143,0,80,0,400,0.0,0.2,False,BEST,0.8,True,True,"[[936   7  16   1   1   1   6   4  22   6]
 [  2 968   1   0   0   0   0   0   4  25]
 [ 30   1 880  13  16   5  44   6   3   2]
 [ 16   7  51 737  20  43  78  21  10  17]
 [  4   1  41  13 848   4  58  25   3   3]
 [ 12   7  31  79  17 763  42  41   0   8]
 [  4   1  10   3   1   0 978   0   2   1]
 [  9   0  14   5   7   3   6 954   0   2]
 [ 28  27   4   0   0   0   3   0 927  11]
 [ 12  44   1   1   1   0   2   1   7 931]]",0.8922,0.894966563,0.8922,0.890916704,4,270.73148345947266
LGUWTA[M][M][M][M][M][M][M][M][M][M][M][M],,4,20,20,True,True,"[3, 5, 7, 7, 7, 7, 12]",[],"[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [128, 5]}, {'CONV': [256, 5]}, {'CONV': [256, 5]}, {'CONV': [256, 5]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'LAST_DENSE': [10, 'softmax']}]",NONE,MPAR,GA,50,"[0.37630000710487366, 0.5519999861717224, 0.6031000018119812, 0.5521000027656555, 0.7440000176429749, 0.6003000140190125, 0.6700000166893005, 0.6279000043869019, 0.7462999820709229, 0.7177000045776367, 0.7820000052452087, 0.7627000212669373, 0.7648000121116638, 0.8065999746322632, 0.8023999929428101, 0.7541999816894531, 0.741100013256073, 0.5633000135421753, 0.8169000148773193, 0.8371000289916992, 0.8029000163078308, 0.847599983215332, 0.8222000002861023, 0.8233000040054321, 0.7226999998092651, 0.8628000020980835, 0.8156999945640564, 0.8181999921798706, 0.795799970626831, 0.7781999707221985, 0.8633999824523926, 0.8751000165939331, 0.8826000094413757, 0.8744000196456909, 0.8895000219345093, 0.8575999736785889, 0.8614000082015991, 0.8790000081062317, 0.8669999837875366, 0.8697999715805054, 0.9082000255584717, 0.901199996471405, 0.9110999703407288, 0.8989999890327454, 0.8931000232696533, 0.9104999899864197, 0.9021999835968018, 0.8978999853134155, 0.911300003528595, 0.9179999828338623]","[1.8406091928482056, 1.3782503604888916, 1.2891030311584473, 1.555585503578186, 0.8907037377357483, 1.4378514289855957, 1.156398892402649, 1.371340274810791, 0.9393625259399414, 1.0354238748550415, 0.7875775098800659, 0.8974027633666992, 0.896119236946106, 0.7171510457992554, 0.7726117968559265, 0.9111185669898987, 1.001344084739685, 2.736881732940674, 0.6911335587501526, 0.6177217960357666, 0.8383973836898804, 0.6119704246520996, 0.7063395977020264, 0.680080771446228, 1.1935654878616333, 0.5562386512756348, 0.7374494671821594, 0.7202795147895813, 0.8349500894546509, 0.9278133511543274, 0.590911865234375, 0.5139412879943848, 0.5130782723426819, 0.5377964377403259, 0.4694344103336334, 0.5710093975067139, 0.5853540301322937, 0.5061715245246887, 0.5696412324905396, 0.5401962995529175, 0.40013590455055237, 0.43328115344047546, 0.39114534854888916, 0.45287495851516724, 0.46329906582832336, 0.3987661600112915, 0.43316859006881714, 0.46955960988998413, 0.3963656425476074, 0.3800446391105652]",0.917999983,,12444260028.0,140174282.0,,,,,,"[3, 5, 7, 7, 7, 6, 12]",0.0,0.0,0.142857143,0,54,0,400,0.0,0.135,False,BEST,1.0,True,True,"[[935   3  11   3   2   0   2   3  30  11]
 [  3 972   0   0   0   0   0   0   6  19]
 [ 18   1 903  17  15  11  18   8   6   3]
 [ 12   3  28 795  30  57  35  17  11  12]
 [  0   1  22  17 909   6  21  21   3   0]
 [  3   2  21  69  21 838  15  24   1   6]
 [  5   0  13   7   8   2 956   2   5   2]
 [  6   1   3   8  13   5   3 959   1   1]
 [ 18   4   1   0   0   0   3   3 960  11]
 [ 11  24   2   3   0   0   0   0   7 953]]",0.918,0.917426013,0.918,0.917281756,11,534.7224502563477
LMPFSL[M][M][M][M][M][M][M][M][M],,5,20,14,True,True,"[7, 5, 4, 8, 7, 7, 11]",[],"[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [128, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [256, 5]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'LAST_DENSE': [10, 'softmax']}]",NONE,MPAR,GA,50,"[0.5347999930381775, 0.5960000157356262, 0.5874000191688538, 0.6690000295639038, 0.7282999753952026, 0.6793000102043152, 0.6549000144004822, 0.7149999737739563, 0.748199999332428, 0.7692999839782715, 0.6934000253677368, 0.7294999957084656, 0.7657999992370605, 0.671999990940094, 0.7526000142097473, 0.8226000070571899, 0.8342999815940857, 0.7912999987602234, 0.8483999967575073, 0.8453999757766724, 0.8582000136375427, 0.7953000068664551, 0.866599977016449, 0.8454999923706055, 0.8561999797821045, 0.8440999984741211, 0.8525999784469604, 0.8482999801635742, 0.8704000115394592, 0.8684999942779541, 0.8876000046730042, 0.8745999932289124, 0.8801000118255615, 0.8952999711036682, 0.8842999935150146, 0.8611999750137329, 0.8889999985694885, 0.878000020980835, 0.8719000220298767, 0.9054999947547913, 0.8986999988555908, 0.9023000001907349, 0.8899000287055969, 0.902999997138977, 0.8974999785423279, 0.9034000039100647, 0.90829998254776, 0.9103000164031982, 0.9053999781608582, 0.9110999703407288]","[1.472886562347412, 1.2736574411392212, 1.4542630910873413, 1.0861070156097412, 0.9625453352928162, 1.1881277561187744, 1.3172307014465332, 1.0168075561523438, 0.9784033298492432, 0.8787068128585815, 1.1834648847579956, 1.038757085800171, 0.931094229221344, 1.334723949432373, 0.9831311702728271, 0.735388457775116, 0.7157458066940308, 0.7986665368080139, 0.6198251247406006, 0.6349893808364868, 0.5958665609359741, 0.8483541011810303, 0.5555356740951538, 0.6592134237289429, 0.6123056411743164, 0.6919199824333191, 0.6152150630950928, 0.6531781554222107, 0.5547823905944824, 0.5704700946807861, 0.5058716535568237, 0.5500101447105408, 0.5480679869651794, 0.49036967754364014, 0.5196583867073059, 0.6155579090118408, 0.5111681222915649, 0.5830216407775879, 0.5960372090339661, 0.45194536447525024, 0.47323453426361084, 0.4632427394390106, 0.5258550047874451, 0.4610649347305298, 0.47981923818588257, 0.4563239812850952, 0.43242764472961426, 0.4302014112472534, 0.45128294825553894, 0.4270469844341278]",0.91109997,,3312334140.0,20228618.0,,,,,,"[7, 5, 4, 8, 7, 6, 11]",0.0,0.0,0.142857143,0,74,0,400,0.0,0.185,False,BEST,0.7,True,True,"[[926   5  12   3   3   0   6   4  27  14]
 [  5 968   0   0   1   0   1   0   1  24]
 [ 29   1 881  11  26   9  26   9   3   5]
 [ 14   7  33 750  30  73  47  16  12  18]
 [  0   1  22  13 914   9  23  17   1   0]
 [  2   4  16  62  20 834  19  31   5   7]
 [  6   2  12   4   2   0 972   1   1   0]
 [  5   0   6   6  14   3   2 962   0   2]
 [ 15   8   3   1   0   1   1   1 953  17]
 [ 11  27   0   0   1   0   0   1   9 951]]",0.9111,0.910607914,0.9111,0.909901606,27,77.16605377197266
LLOSSJ[M][M][M][M][M][M][M][M][M][M],,6,20,13,True,True,"[7, 5, 7, 7, 3, 7, 12]",[],"[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [128, 5]}, {'CONV': [256, 5]}, {'CONV': [256, 5]}, {'CONV': [64, 5]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'LAST_DENSE': [10, 'softmax']}]",NONE,MPAR,GA,50,"[0.31349998712539673, 0.5519000291824341, 0.6434000134468079, 0.6801000237464905, 0.6004999876022339, 0.7235999703407288, 0.7258999943733215, 0.7626000046730042, 0.7157999873161316, 0.7081000208854675, 0.7534999847412109, 0.6057999730110168, 0.5979999899864197, 0.8515999913215637, 0.8130000233650208, 0.7968000173568726, 0.8113999962806702, 0.8267999887466431, 0.8033000230789185, 0.8371000289916992, 0.8823000192642212, 0.8790000081062317, 0.8697999715805054, 0.8733999729156494, 0.8615000247955322, 0.8860999941825867, 0.853600025177002, 0.8707000017166138, 0.8858000040054321, 0.8865000009536743, 0.8741000294685364, 0.8521999716758728, 0.8636000156402588, 0.8479999899864197, 0.8798999786376953, 0.8967000246047974, 0.8932999968528748, 0.878600001335144, 0.8960000276565552, 0.8885999917984009, 0.8930000066757202, 0.9100000262260437, 0.9085999727249146, 0.9082000255584717, 0.9110000133514404, 0.9090999960899353, 0.9082000255584717, 0.9032999873161316, 0.9081000089645386, 0.9014000296592712]","[2.593008041381836, 1.4572616815567017, 1.1227566003799438, 1.0759105682373047, 1.3330577611923218, 0.9745247960090637, 0.9638603329658508, 0.8634969592094421, 1.0348739624023438, 1.0648972988128662, 0.9170302748680115, 1.7427324056625366, 1.64387047290802, 0.5970178842544556, 0.7043191194534302, 0.7575973868370056, 0.6997509598731995, 0.673362135887146, 0.7734922170639038, 0.638010561466217, 0.4643605351448059, 0.4831145405769348, 0.526073157787323, 0.49183836579322815, 0.5309600830078125, 0.46248775720596313, 0.5758134722709656, 0.5245980620384216, 0.46971309185028076, 0.46176233887672424, 0.5127566456794739, 0.6288278102874756, 0.5729101300239563, 0.6440183520317078, 0.487912654876709, 0.42596185207366943, 0.44587740302085876, 0.4966677725315094, 0.44541722536087036, 0.4688902199268341, 0.4346497058868408, 0.3869048058986664, 0.4044753313064575, 0.3968793451786041, 0.3849690556526184, 0.4013739228248596, 0.4098323583602905, 0.4242720305919647, 0.403301477432251, 0.4404662251472473]",0.90140003,,8698877628.0,138345482.0,,,,,,"[7, 5, 7, 7, 3, 6, 12]",0.0,0.0,0.142857143,0,87,0,400,0.0,0.2175,False,BEST,0.65,True,True,"[[933   3  18   3   6   0   8   3  20   6]
 [  4 973   1   1   0   0   1   0   5  15]
 [ 23   0 843  11  33  13  65   7   3   2]
 [ 11   4  24 759  39  66  77   8   6   6]
 [  0   1  13   7 924   5  43   5   1   1]
 [  8   0  18  60  32 816  49  15   1   1]
 [  3   1   6   7   2   1 976   1   1   2]
 [  5   0  10   9  41  12  14 907   0   2]
 [ 24  11   2   2   1   0   3   2 947   8]
 [ 14  31   2   1   2   0   5   0   9 936]]",0.9014,0.904495653,0.9014,0.900957262,25,527.7461318969727
LZBVSV[M][M][M],,7,20,12,True,True,"[4, 5, 3, 7, 7, 7, 12]",[],"[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [128, 5]}, {'CONV': [64, 5]}, {'CONV': [256, 5]}, {'CONV': [256, 5]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'LAST_DENSE': [10, 'softmax']}]",NONE,MPAR,GA,50,"[0.4578000009059906, 0.5278000235557556, 0.5740000009536743, 0.5873000025749207, 0.6873000264167786, 0.5389999747276306, 0.7200999855995178, 0.6984000205993652, 0.6575999855995178, 0.7773000001907349, 0.7563999891281128, 0.7182999849319458, 0.7315999865531921, 0.8051999807357788, 0.7092000246047974, 0.7347999811172485, 0.7533000111579895, 0.7997000217437744, 0.7949000000953674, 0.8398000001907349, 0.8569999933242798, 0.808899998664856, 0.8518999814987183, 0.8673999905586243, 0.8269000053405762, 0.8658000230789185, 0.8240000009536743, 0.8604999780654907, 0.8758000135421753, 0.8755999803543091, 0.8126999735832214, 0.8098000288009644, 0.8374000191688538, 0.8310999870300293, 0.8949999809265137, 0.8802000284194946, 0.8985000252723694, 0.8640000224113464, 0.8881000280380249, 0.885200023651123, 0.8695999979972839, 0.8664000034332275, 0.9110000133514404, 0.9089000225067139, 0.9036999940872192, 0.9000999927520752, 0.9108999967575073, 0.9031999707221985, 0.9061999917030334, 0.9052000045776367]","[1.7155681848526, 1.5629264116287231, 1.410325050354004, 1.5554025173187256, 1.037402629852295, 1.9615386724472046, 1.024152159690857, 1.0654836893081665, 1.3345129489898682, 0.8515069484710693, 0.9286412000656128, 1.0488992929458618, 1.0293878316879272, 0.74847412109375, 1.096462368965149, 1.0801661014556885, 0.9678851366043091, 0.7989912629127502, 0.8106644153594971, 0.6345503926277161, 0.5852830410003662, 0.7704209685325623, 0.5973259210586548, 0.5250476002693176, 0.6733351349830627, 0.5360388159751892, 0.7209653258323669, 0.5764574408531189, 0.5072194933891296, 0.5134074091911316, 0.7775356769561768, 0.7560564279556274, 0.7068819999694824, 0.6826862692832947, 0.44977471232414246, 0.4877568483352661, 0.43554195761680603, 0.5917972326278687, 0.48929500579833984, 0.4813634753227234, 0.5337948203086853, 0.5372731685638428, 0.38869211077690125, 0.3999353349208832, 0.405109703540802, 0.4427260756492615, 0.3836086094379425, 0.42820125818252563, 0.42469292879104614, 0.4046192467212677]",0.905200005,,9085801404.0,138534026.0,,,,,,"[4, 5, 3, 7, 7, 6, 12]",0.0,0.0,0.142857143,0,45,0,400,0.0,0.1125,False,BEST,0.6,True,True,"[[907   3  19   6   1   0   4  12  22  26]
 [  2 948   0   0   0   0   0   0   2  48]
 [ 14   1 862  26  18   9  32  29   3   6]
 [ 10   3   9 836  17  54  27  27   5  12]
 [  5   4  16  27 843  11  26  63   2   3]
 [  5   1  10  94   8 823  11  40   2   6]
 [  3   2   7   8   3   2 968   4   0   3]
 [  1   0   1   4   6   5   0 978   0   5]
 [ 19  15   3   3   0   0   2   5 920  33]
 [  6  18   1   1   0   0   0   3   4 967]]",0.9052,0.907519815,0.9052,0.904829663,14,528.4653701782227
LMCTXQ[M][M][M][M][M][M][M][M][M][M][M][M],,8,20,17,True,True,"[7, 5, 3, 3, 6, 7, 12]",[],"[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [128, 5]}, {'CONV': [64, 5]}, {'CONV': [64, 5]}, {'CONV': [256, 3]}, {'CONV': [256, 5]}, {'FLATTEN': None}, {'DENSE': [512, 'relu']}, {'LAST_DENSE': [10, 'softmax']}]",NONE,MPAR,GA,50,"[0.3077999949455261, 0.550000011920929, 0.6273000240325928, 0.6924999952316284, 0.6851999759674072, 0.616599977016449, 0.7027000188827515, 0.6478999853134155, 0.7516999840736389, 0.7527999877929688, 0.7547000050544739, 0.7842000126838684, 0.7749000191688538, 0.7296000123023987, 0.7297999858856201, 0.679099977016449, 0.8253999948501587, 0.8133000135421753, 0.7390000224113464, 0.7513999938964844, 0.7702999711036682, 0.7415000200271606, 0.8453999757766724, 0.8565999865531921, 0.8531000018119812, 0.8373000025749207, 0.8521999716758728, 0.8496999740600586, 0.8722000122070312, 0.829800009727478, 0.8528000116348267, 0.8507000207901001, 0.8349999785423279, 0.8525000214576721, 0.8830999732017517, 0.8902999758720398, 0.8830000162124634, 0.8870000243186951, 0.8790000081062317, 0.8932999968528748, 0.8877999782562256, 0.8930000066757202, 0.887499988079071, 0.8901000022888184, 0.8906999826431274, 0.8932999968528748, 0.8934999704360962, 0.9014999866485596, 0.8964999914169312, 0.8930000066757202]","[2.386237382888794, 1.3737252950668335, 1.1705617904663086, 0.9861040115356445, 1.0689754486083984, 1.2830430269241333, 1.026934027671814, 1.2443010807037354, 0.8725645542144775, 0.9152166843414307, 0.8849709033966064, 0.8238048553466797, 0.8572874069213867, 0.9575002193450928, 1.0276998281478882, 1.1132150888442993, 0.6867191195487976, 0.7152334451675415, 1.0012248754501343, 0.9544036984443665, 0.916403591632843, 0.9483762979507446, 0.605545699596405, 0.5556088089942932, 0.5794874429702759, 0.6531392931938171, 0.6197733879089355, 0.5997564196586609, 0.5140155553817749, 0.6502765417098999, 0.5699363350868225, 0.6269688606262207, 0.6303455829620361, 0.58174729347229, 0.467011958360672, 0.4490741193294525, 0.46061620116233826, 0.47861695289611816, 0.48903724551200867, 0.4435732066631317, 0.4699815511703491, 0.4452143609523773, 0.4750615656375885, 0.46247026324272156, 0.4441247582435608, 0.4518219232559204, 0.4387372136116028, 0.42672696709632874, 0.43821316957473755, 0.44038236141204834]",0.893000007,,6274175548.0,137160970.0,,,,,,"[7, 5, 3, 3, 5, 7, 11]",0.0,0.0,0.285714286,0,58,0,400,0.0,0.145,False,BEST,0.85,True,True,"[[923  12  24   3   6   0   4   6  16   6]
 [  3 977   0   0   1   0   0   0   2  17]
 [ 12   2 896   4  29  17  21  15   1   3]
 [ 25   8  57 623  57 132  41  43   2  12]
 [  2   1  29   3 918  10  21  15   1   0]
 [  9   3  21  24  20 875  11  34   0   3]
 [  5   3  25   2   9   4 948   2   0   2]
 [  7   1  11   3  11  15   2 949   0   1]
 [ 52  22   5   1   0   0   1   3 902  14]
 [ 13  54   2   2   2   0   0   2   6 919]]",0.893,0.895930473,0.893,0.890596709,103,523.2275772094727
