GO1,GO2,Wilcoxon Statistic,p-value,H0 veredict
HHSE_ACC,HHSE_CROWD,0.0,1.0,Non-rejected
HHSE_ACC,HHSE_SUCCMUT,0.0,1.0,Non-rejected
HHSE_ACC,NONE_MPAR,1.0,1.0,Non-rejected
HHSE_ACC,NONE_MSWAP,1.0,1.0,Non-rejected
HHSE_ACC,NONE_NONE,1.0,1.0,Non-rejected
HHSE_ACC,SPC_MPAR,1.0,1.0,Non-rejected
HHSE_ACC,SPC_MSWAP,1.0,1.0,Non-rejected
HHSE_ACC,SPC_NONE,1.0,1.0,Non-rejected
HHSE_ACC,TPC_MPAR,1.0,1.0,Non-rejected
HHSE_ACC,TPC_MSWAP,0.0,1.0,Non-rejected
HHSE_ACC,TPC_NONE,0.0,1.0,Non-rejected
HHSE_ACC,UC_MPAR,0.0,1.0,Non-rejected
HHSE_ACC,UC_MSWAP,0.0,1.0,Non-rejected
HHSE_ACC,UC_NONE,1.0,1.0,Non-rejected
HHSE_CROWD,HHSE_SUCCMUT,1.0,1.0,Non-rejected
HHSE_CROWD,NONE_MPAR,1.0,1.0,Non-rejected
HHSE_CROWD,NONE_MSWAP,1.0,1.0,Non-rejected
HHSE_CROWD,NONE_NONE,1.0,1.0,Non-rejected
HHSE_CROWD,SPC_MPAR,1.0,1.0,Non-rejected
HHSE_CROWD,SPC_MSWAP,1.0,1.0,Non-rejected
HHSE_CROWD,SPC_NONE,1.0,1.0,Non-rejected
HHSE_CROWD,TPC_MPAR,1.0,1.0,Non-rejected
HHSE_CROWD,TPC_MSWAP,1.0,1.0,Non-rejected
HHSE_CROWD,TPC_NONE,0.0,1.0,Non-rejected
HHSE_CROWD,UC_MPAR,1.0,1.0,Non-rejected
HHSE_CROWD,UC_MSWAP,1.0,1.0,Non-rejected
HHSE_CROWD,UC_NONE,1.0,1.0,Non-rejected
HHSE_SUCCMUT,NONE_MPAR,1.0,1.0,Non-rejected
HHSE_SUCCMUT,NONE_MSWAP,1.0,1.0,Non-rejected
HHSE_SUCCMUT,NONE_NONE,1.0,1.0,Non-rejected
HHSE_SUCCMUT,SPC_MPAR,1.0,1.0,Non-rejected
HHSE_SUCCMUT,SPC_MSWAP,1.0,1.0,Non-rejected
HHSE_SUCCMUT,SPC_NONE,1.0,1.0,Non-rejected
HHSE_SUCCMUT,TPC_MPAR,1.0,1.0,Non-rejected
HHSE_SUCCMUT,TPC_MSWAP,1.0,1.0,Non-rejected
HHSE_SUCCMUT,TPC_NONE,0.0,1.0,Non-rejected
HHSE_SUCCMUT,UC_MPAR,0.0,1.0,Non-rejected
HHSE_SUCCMUT,UC_MSWAP,0.0,1.0,Non-rejected
HHSE_SUCCMUT,UC_NONE,1.0,1.0,Non-rejected
NONE_MPAR,NONE_MSWAP,1.0,1.0,Non-rejected
