State,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
SBX_MNUF,5,3,4,0,5,1,1,0,1,0,0,0
SBX_MPOLY,4,8,3,0,3,1,0,1,2,1,0,1
SBX_NONE,3,4,5,0,2,1,0,0,0,0,0,0
SPC_MNUF,0,1,0,0,0,0,0,1,0,0,0,0
SPC_MPOLY,3,5,1,0,0,0,0,1,0,0,0,0
SPC_NONE,0,0,1,1,0,0,0,0,1,0,1,0
TPC_MNUF,0,0,0,0,0,0,0,2,2,0,0,0
TPC_MPOLY,3,0,0,0,0,0,1,0,0,1,1,0
TPC_NONE,2,1,0,0,0,0,1,1,1,0,1,0
UC_MNUF,0,1,0,0,0,0,1,0,0,0,0,0
UC_MPOLY,0,1,1,1,0,0,0,0,0,0,1,0
UC_NONE,1,0,0,0,0,0,0,0,0,0,0,0
