State,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
SBX_MNUF,6,4,3,0,2,0,0,0,0,0,0,1
SBX_MPOLY,3,4,7,0,1,2,1,0,0,0,0,0
SBX_NONE,4,4,3,0,3,2,0,0,0,0,0,0
SPC_MNUF,0,0,0,0,4,1,0,0,0,3,0,0
SPC_MPOLY,1,4,2,1,3,1,0,1,3,0,0,0
SPC_NONE,2,2,0,3,0,1,0,0,1,1,0,0
TPC_MNUF,0,0,0,0,0,0,0,0,0,1,0,0
TPC_MPOLY,0,0,0,0,0,1,0,0,0,0,1,0
TPC_NONE,1,0,0,3,0,0,0,0,0,0,0,0
UC_MNUF,0,0,1,0,1,1,0,1,0,0,0,1
UC_MPOLY,0,0,0,0,0,1,0,0,0,0,0,0
UC_NONE,0,0,0,1,1,0,0,0,0,0,0,0
