Operator,Count
UC_MPOLY,12
SPC_NONE,17
SBX_MPOLY,4
TPC_MNUF,5
UC_NONE,13
SBX_NONE,1
TPC_NONE,25
SBX_MNUF,1
SPC_MPOLY,13
TPC_MPOLY,5
NONE_MPOLY,1
NONE_MNUF,1
SPC_MNUF,2
