counts,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SPC_MPOLY,TPC_MPOLY,UC_MPOLY
NONE_MPOLY,0,1,22,1,2,0
SBX_MNUF,0,676,552,0,0,1
SBX_MPOLY,10,552,1103,5,7,5
SPC_MPOLY,2,0,9,1,0,0
TPC_MPOLY,0,0,11,1,0,0
UC_MPOLY,2,0,5,1,1,0
