Genetic_operators,Times_Used,Pareto_Appearances
SPC_MPAR,16,46
SPC_MSWAP,24,58
TPC_MPAR,23,52
TPC_MSWAP,14,46
UC_MPAR,11,59
UC_MSWAP,12,47
