GD,NONE_MNUF,NONE_MPOLY,SBX_MNUF,SBX_MPOLY,SBX_NONE,SPC_MNUF,SPC_MPOLY,SPC_NONE,TPC_MNUF,TPC_MPOLY,TPC_NONE,UC_MNUF,UC_MPOLY,UC_NONE
NONE_MNUF,0.308307,0.020767,0.174121,0.019169,0.031949,0.143770,0.006390,0.001597,0.150160,0.012780,0.000000,0.124601,0.006390,0.000000
NONE_MPOLY,0.178571,0.035714,0.130952,0.023810,0.107143,0.154762,0.023810,0.000000,0.142857,0.023810,0.000000,0.130952,0.047619,0.000000
SBX_MNUF,0.178197,0.035639,0.167715,0.031447,0.039832,0.167715,0.010482,0.008386,0.157233,0.012579,0.002096,0.167715,0.018868,0.002096
SBX_MPOLY,0.225806,0.032258,0.145161,0.080645,0.096774,0.112903,0.016129,0.000000,0.096774,0.016129,0.016129,0.112903,0.032258,0.016129
SBX_NONE,0.048611,0.038194,0.069444,0.024306,0.614583,0.024306,0.024306,0.010417,0.045139,0.024306,0.010417,0.041667,0.013889,0.010417
SPC_MNUF,0.226027,0.018265,0.198630,0.013699,0.018265,0.159817,0.006849,0.000000,0.173516,0.009132,0.002283,0.162100,0.009132,0.002283
SPC_MPOLY,0.085714,0.085714,0.114286,0.085714,0.028571,0.200000,0.000000,0.000000,0.171429,0.057143,0.000000,0.142857,0.028571,0.000000
SPC_NONE,0.000000,0.125000,0.125000,0.000000,0.375000,0.125000,0.000000,0.000000,0.125000,0.000000,0.000000,0.000000,0.125000,0.000000
TPC_MNUF,0.190045,0.027149,0.190045,0.009050,0.033937,0.185520,0.018100,0.000000,0.162896,0.004525,0.002262,0.165158,0.011312,0.000000
TPC_MPOLY,0.131579,0.052632,0.131579,0.078947,0.157895,0.078947,0.026316,0.000000,0.131579,0.026316,0.026316,0.105263,0.000000,0.052632
TPC_NONE,0.181818,0.000000,0.181818,0.000000,0.090909,0.181818,0.000000,0.000000,0.090909,0.090909,0.000000,0.181818,0.000000,0.000000
UC_MNUF,0.197115,0.031250,0.156250,0.016827,0.038462,0.170673,0.014423,0.000000,0.177885,0.007212,0.009615,0.165865,0.009615,0.004808
UC_MPOLY,0.085714,0.000000,0.142857,0.057143,0.228571,0.142857,0.000000,0.000000,0.114286,0.057143,0.000000,0.142857,0.028571,0.000000
UC_NONE,0.100000,0.000000,0.100000,0.100000,0.200000,0.100000,0.000000,0.000000,0.100000,0.200000,0.000000,0.000000,0.000000,0.100000
