Execution,HD_P1_mean,HD_P2_mean,HD_P1_std,HD_P2_std,HD_BM_mean,HD_BM_std,succ_crossover,succ_mutation
1,2.08,1.96,2.452292269232478,2.3991581014930206,1.908256880733945,2.0973584991941725,6.111111111111111,10.555555555555555
2,3.28,3.26,2.8782710859897205,2.661434260550563,2.0849056603773586,1.991017564813587,7.666666666666667,10.222222222222221
3,3.13,3.11,2.9220685906536907,2.867071852971427,1.6727272727272726,1.9634695508795208,6.0,6.666666666666667
4,3.43,3.55,3.0985659765625635,3.22043663518041,2.018181818181818,2.2174529490651573,10.0,8.0
5,3.37,3.3,2.873265836231755,2.8159000211820255,1.787037037037037,2.1314333114672532,8.944444444444445,6.333333333333333
6,2.78,2.83,3.2304735869465944,3.206858181139196,1.5963302752293578,2.0051750918978413,7.833333333333333,7.444444444444445
7,3.26,3.27,2.855510356125398,2.9536999567226587,1.651376146788991,2.114220576061204,7.722222222222222,7.888888888888889
8,4.09,4.26,2.981745810898052,2.7911114327993123,1.9363636363636363,1.9966819849751412,7.5,6.222222222222222
9,3.35,3.25,2.844008410392599,2.764767511733924,1.9454545454545455,2.0535776060703093,10.277777777777779,10.333333333333334
10,3.15,3.17,2.822617883662561,2.846422528740456,1.4444444444444444,1.8359511188763789,8.333333333333334,5.888888888888889
Mean,3.192,3.196,,,1.8045077717338405,,8.038888888888888,7.955555555555554
Std,0.46161377007978516,0.5179013595095288,,,0.18742259117642976,,1.2866512272062622,1.6345044931940704
