Execution,HD_P1_mean,HD_P2_mean,HD_P1_std,HD_P2_std,HD_BM_mean,HD_BM_std,succ_crossover,succ_mutation
1,3.2,3.34,2.7228921047557897,2.7532166678636134,1.5727272727272728,1.7212065903813842,7.722222222222222,8.88888888888889
2,3.24,3.31,2.590269281270762,2.6541182027828816,2.036363636363636,2.0133830798406174,6.833333333333333,13.333333333333334
3,3.31,3.48,2.791382844007282,2.7468255323282738,1.5740740740740742,2.0698264124412273,7.0,9.444444444444445
4,3.74,3.78,2.77659772914532,3.0370772765667953,1.6272727272727272,1.9387837429692019,6.833333333333333,6.666666666666667
5,4.13,4.05,3.0736909014368634,2.98607881119482,1.6636363636363636,1.9025683882741378,9.0,4.333333333333333
6,3.51,3.42,2.8586038832997067,2.892623848216828,1.7545454545454546,1.8876049755673163,8.166666666666666,7.888888888888889
7,3.8,3.74,2.905932629027116,2.9528961985813114,1.5648148148148149,1.9825083146666485,7.611111111111111,7.222222222222222
8,3.91,3.87,2.8036592251029813,2.852094746750964,1.7798165137614679,2.1531965821950916,7.888888888888889,12.222222222222221
9,4.15,4.27,3.0529833066538488,3.177747757151409,1.7889908256880733,1.7642194501913788,10.944444444444445,7.666666666666667
10,3.35,3.49,3.0628929350065652,3.0267994898101778,1.8272727272727274,2.0312200469338344,11.5,11.0
Mean,3.6340000000000003,3.6750000000000007,,,1.7189514410156612,,8.35,8.866666666666667
Std,0.32639073070617225,0.29086860513734614,,,0.13482473869839048,,1.4980439921674984,2.4603705249595613
