ID,Seed,Execution,Generation,GenCreation,isChild,isMutant,Integer_encoding,Binary_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,Was_invalid,arch_status,NFHT,Trained_Completely,Has_CM,Confusion_matrix,cm_accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro,Ranking,HHSE,Objectives
BMFGRS[M],52,11,100,11,False,False,"[6, 9, 39, 58, 30, 6, 47, 45]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,HHSE,GA,0,[],[],0.576087913,0,0,,1121338924.0,6488484.0,24.75160217,BHHVW[M],VUXU[M],"[6, 9, 39, 58, 30, 6, 47, 63]","[6, 47, 39, 34, 30, 6, 58, 45]","[6, 9, 39, 58, 30, 6, 47, 45]",0.125,0.375,0.0,0,0,0,0,0.05,0.0,False,BEST,0.11,False,False,None,0,0,0,0,,True,"{'Accuracy': 'MAX', 'FLOPs': 'MIN', 'Num_params': 'MIN'}"
BSCRPR[M],53,12,100,17,False,False,"[14, 16, 26, 38, 39, 38, 28, 37]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,HHSE,GA,0,[],[],0.599359534,0,0,,584586924.0,3743908.0,14.28187561,IANUA[M],MACRG[M],"[14, 30, 35, 38, 39, 38, 28, 37]","[14, 16, 26, 35, 31, 38, 28, 39]","[14, 16, 26, 38, 39, 38, 28, 37]",0.25,0.375,0.0,0,0,0,0,0.1,0.0,False,BEST,0.17,False,False,None,0,0,0,0,,True,"{'Accuracy': 'MAX', 'FLOPs': 'MIN', 'Num_params': 'MIN'}"
BRVHXL,54,13,100,25,False,False,"[2, 28, 20, 20, 24, 38, 28, 22]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,HHSE,GA,0,[],[],0.580262255,0,0,,367470892.0,1929124.0,7.359024048,VQGQY[M],RSWNK[M],"[2, 22, 20, 20, 24, 38, 28, 22]","[2, 28, 20, 20, 24, 38, 22, 22]",,0.125,0.125,-1.0,0,0,0,0,0.05,0.0,False,BEST,0.25,False,False,None,0,0,0,0,,True,"{'Accuracy': 'MAX', 'FLOPs': 'MIN', 'Num_params': 'MIN'}"
BVPWSH[M],55,14,100,8,False,False,"[16, 12, 39, 58, 5, 38, 23, 39]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [32, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,HHSE,GA,0,[],[],0.566473684,0,0,,916013036.0,5373988.0,20.50013733,GGDDV[M],UAJTX[M],"[16, 12, 39, 57, 5, 38, 23, 39]","[16, 5, 39, 57, 12, 38, 23, 39]","[16, 12, 39, 57, 5, 38, 23, 39]",0.0,0.25,0.125,0,0,0,0,0.05,0.15,False,BEST,0.08,False,False,None,0,0,0,0,,True,"{'Accuracy': 'MAX', 'FLOPs': 'MIN', 'Num_params': 'MIN'}"
BRSZAF[M],56,15,100,18,False,False,"[14, 46, 20, 20, 46, 38, 62, 22]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,HHSE,GA,0,[],[],0.591904342,0,0,,1598014508.0,5831076.0,22.24378967,FEQGI[M],LTRGN[M],"[14, 46, 48, 20, 16, 38, 62, 22]","[14, 19, 20, 20, 46, 38, 62, 22]","[14, 46, 20, 20, 46, 38, 62, 22]",0.25,0.125,0.0,0,0,0,0,0.05,0.0,False,BEST,0.18,False,False,None,0,0,0,0,,True,"{'Accuracy': 'MAX', 'FLOPs': 'MIN', 'Num_params': 'MIN'}"
BOXCOA[M],57,16,100,41,False,False,"[14, 28, 49, 45, 47, 38, 28, 7]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [32, 5]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,HHSE,GA,0,[],[],0.582669803,0,0,,1075307756.0,4427300.0,16.8888092,QLJXL[M],TXKEY[M],"[14, 28, 41, 48, 47, 38, 28, 7]","[14, 28, 48, 45, 47, 38, 28, 7]","[14, 28, 48, 45, 47, 38, 28, 7]",0.25,0.0,0.125,0,0,0,0,0.0,0.05,False,BEST,0.41,False,False,None,0,0,0,0,,True,"{'Accuracy': 'MAX', 'FLOPs': 'MIN', 'Num_params': 'MIN'}"
BJTWKW,58,17,100,10,False,False,"[14, 36, 8, 6, 39, 6, 35, 7]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [32, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [64, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,HHSE,GA,0,[],[],0.603318079,0,0,,791268140.0,3013540.0,11.4957428,JOVFI[M],FTLDT[M],"[14, 61, 9, 60, 39, 6, 35, 7]","[14, 36, 8, 6, 39, 30, 7, 7]",,0.375,0.25,-1.0,0,0,0,0,0.1,0.0,False,BEST,0.1,False,False,None,0,0,0,0,,True,"{'Accuracy': 'MAX', 'FLOPs': 'MIN', 'Num_params': 'MIN'}"
BVNKCJ[M],59,18,100,27,False,False,"[26, 25, 23, 9, 58, 54, 47, 31]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [64, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,HHSE,GA,0,[],[],0.575973246,0,0,,595057324.0,4711588.0,17.97328186,EQQRX[M],NXDVC[M],"[48, 25, 23, 9, 58, 54, 47, 31]","[25, 25, 23, 9, 18, 54, 47, 31]","[25, 25, 23, 9, 58, 54, 47, 31]",0.125,0.125,0.125,0,0,0,0,0.0,0.05,False,BEST,0.27,False,False,None,0,0,0,0,,True,"{'Accuracy': 'MAX', 'FLOPs': 'MIN', 'Num_params': 'MIN'}"
BTAPCE[M],60,19,100,20,False,False,"[4, 12, 4, 13, 19, 38, 11, 55]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [64, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,HHSE,GA,0,[],[],0.589035286,0,0,,378283052.0,3213732.0,12.25941467,GCIC[M],DJLIB[M],"[4, 12, 4, 12, 19, 38, 11, 55]","[4, 12, 4, 12, 19, 38, 11, 55]","[4, 12, 4, 12, 19, 38, 11, 55]",0.0,0.0,0.125,0,0,0,0,0.0,0.05,False,BEST,0.2,False,False,None,0,0,0,0,,True,"{'Accuracy': 'MAX', 'FLOPs': 'MIN', 'Num_params': 'MIN'}"
BTFVLP[M],61,20,100,55,False,False,"[14, 12, 4, 20, 31, 4, 39, 4]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,HHSE,GA,0,[],[],0.619771244,0,0,,565044908.0,2630820.0,10.03578186,CYRFD[M],FHJVB[M],"[14, 12, 4, 18, 31, 4, 39, 4]","[14, 12, 4, 19, 31, 4, 39, 4]","[14, 12, 4, 19, 31, 4, 39, 4]",0.125,0.0,0.125,0,0,0,0,0.0,0.05,False,BEST,0.55,False,False,None,0,0,0,0,,True,"{'Accuracy': 'MAX', 'FLOPs': 'MIN', 'Num_params': 'MIN'}"
