Operator,Count
SPC_MPOLY,554
SPC_NONE,470
SPC_MNUF,454
TPC_MPOLY,393
TPC_MNUF,348
TPC_NONE,326
UC_MPOLY,165
UC_NONE,157
UC_MNUF,133
