Operator,Count
TPC_MNUF,17
SPC_NONE,11
TPC_NONE,8
SPC_MNUF,21
UC_MPOLY,5
SPC_MPOLY,18
UC_NONE,8
UC_MNUF,5
TPC_MPOLY,7
